session_duration,pages_viewed,purchase_amount,device,source,location,group,converted,customer_segment,ad_spend
324.83570765056163,4,77.02534083166137,mobile,organic,US,treatment,1,low,274.3561476335999
293.0867849414408,7,51.2644801861967,mobile,paid,APAC,treatment,1,medium,289.99707923882136
332.3844269050346,7,61.805374328264804,desktop,paid,US,control,1,low,346.7705769894433
376.15149282040124,2,59.099331004081726,desktop,paid,LATAM,treatment,1,medium,68.72145500989461
288.2923312638332,5,55.793467597567755,mobile,referral,US,control,0,low,374.66468723030766
288.293152152541,6,64.1202687854325,desktop,organic,LATAM,control,0,low,77.88695314073462
378.9606407753696,5,54.521990098936485,desktop,paid,US,treatment,1,medium,260.7298554527905
338.37173645764545,2,69.06325414152548,desktop,paid,US,control,1,medium,422.45201100613735
276.5262807032524,7,53.3835744193596,mobile,organic,US,treatment,0,low,253.0468909752783
327.1280021792982,9,40.07421993271177,mobile,organic,APAC,control,0,low,117.0903869457115
276.8291153593769,6,50.20417167212918,tablet,paid,APAC,control,0,low,493.2652302526819
276.71351232148714,5,35.34326142657905,desktop,referral,US,control,0,low,450.1784579334185
312.0981135783017,6,32.30949696260601,mobile,paid,LATAM,control,0,high,397.0911349512563
204.3359877671101,5,53.66746407892257,mobile,referral,EU,treatment,0,high,235.18022130464468
213.75410837434836,5,62.88467845284525,mobile,paid,EU,control,1,low,132.730577100184
271.88562353795135,5,52.02280407621219,mobile,organic,APAC,control,0,low,473.63503163832553
249.35844398327882,4,49.8210502299165,mobile,organic,US,control,0,high,289.55800693271254
315.71236662976366,8,40.235999513362025,mobile,organic,US,control,0,medium,433.5599571743683
254.59879622393944,4,62.80411174033266,desktop,organic,LATAM,treatment,1,medium,203.9427525917416
229.38481493323542,5,37.668986949851444,mobile,organic,LATAM,control,0,medium,200.87974268576178
373.2824384460777,3,63.909723580014,desktop,referral,LATAM,treatment,0,low,493.4932163033176
288.71118497567323,7,36.440296551400365,mobile,referral,LATAM,treatment,0,low,284.82487182268244
303.3764102343962,2,48.04214729031418,mobile,organic,US,treatment,0,high,113.31294073733582
228.76259068932717,5,39.57728411952752,mobile,organic,APAC,treatment,0,medium,148.85360509761836
272.78086377374086,10,55.704211733607956,mobile,organic,US,control,0,low,266.8749257267243
305.5461294854933,7,59.051771616244885,desktop,paid,LATAM,control,1,low,69.1119097197851
242.45032112888487,7,44.8133328037879,desktop,organic,US,treatment,0,low,258.14029342023525
